,ASR_Argmax_Random,ASR_Argmax_Random,ASR_VDS_Random,ASR_VDS_Random,Acc_Argmax_Random,Acc_Argmax_Random,VDS_Coverage_Random,VDS_Coverage_Random,VDS_SelAcc_Random,VDS_SelAcc_Random,ASR_Argmax_PGD,ASR_Argmax_PGD,ASR_VDS_PGD,ASR_VDS_PGD,Acc_Argmax_PGD,Acc_Argmax_PGD,VDS_Coverage_PGD,VDS_Coverage_PGD,VDS_SelAcc_PGD,VDS_SelAcc_PGD,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.972027972027972,0.013082718135573239,0.909090909090909,0.008564649450290798,0.9846500660598944,0.005334725622371458,0.0,0.0,0.0,0.0,0.972027972027972,0.013082718135573239,0.909090909090909,0.008564649450290798,0.9846500660598944,0.005334725622371458,68.6,65.53472362038312
0.1,0.004195804195804196,0.006254735601398013,0.01818181818181818,0.01363188020253002,0.9678321678321679,0.01823553120336409,0.9076923076923077,0.015160477894180983,0.9861744409343526,0.006326770535753226,0.07692307692307693,0.013986013986013983,0.14405594405594407,0.024525423659790466,0.8951048951048952,0.004944802665640143,0.7958041958041958,0.04265161029923609,0.9636350280902442,0.017372363601378768,68.6,65.53472362038312
0.2,0.019580419580419582,0.015160477894180978,0.04195804195804196,0.019779210662560772,0.9608391608391609,0.015320910699445219,0.9034965034965035,0.021779596506849554,0.9877492061744031,0.008707347166118316,0.20279720279720279,0.04224841249508591,0.38181818181818183,0.05497410911058336,0.7692307692307693,0.03389985914277158,0.7090909090909091,0.0505725447042365,0.8513520174574907,0.014732445144378471,68.6,65.53472362038312
0.3,0.016783216783216783,0.003830227674861302,0.05594405594405595,0.01782873955801673,0.9664335664335664,0.003127367800698992,0.9090909090909092,0.01640005510427774,0.9830969381180319,0.0064484651373408275,0.3706293706293706,0.06351714029575158,0.5314685314685315,0.07450096417014868,0.6013986013986015,0.051625255455361514,0.6881118881118881,0.06458601336514025,0.6580202236919577,0.05579252274312431,68.6,65.53472362038312
0.4,0.02237762237762238,0.014331399672670768,0.07552447552447553,0.02492102053315449,0.9608391608391609,0.01609911109541445,0.909090909090909,0.022113829791387266,0.9830125967568526,0.006508250644909557,0.5244755244755245,0.07384165063616387,0.6937062937062938,0.06320842818728205,0.4475524475524476,0.0625473560139801,0.6895104895104895,0.06718383845860393,0.4218369377106592,0.06979177931295055,68.6,65.53472362038312
0.5,0.04335664335664336,0.018100949797964734,0.0965034965034965,0.029420537018129547,0.9454545454545455,0.015946509441945964,0.8853146853146854,0.029086201878441097,0.9890172988899673,0.006764896761210783,0.6839160839160839,0.06894409814750345,0.7986013986013986,0.04461297316849391,0.2881118881118881,0.06183969501939621,0.7384615384615385,0.05176714831698391,0.2549889093847788,0.06530663178164266,68.6,65.53472362038312
0.6,0.04755244755244755,0.0206264072779757,0.0993006993006993,0.024921020533154488,0.9412587412587413,0.02350732351604423,0.883916083916084,0.03653804329402271,0.9719526772296148,0.01642387903921856,0.7888111888111888,0.052888588534794494,0.855944055944056,0.030320955788361924,0.1832167832167832,0.04406149371195346,0.8391608391608392,0.033899859142771535,0.15608092944582194,0.041048953606221975,68.6,65.53472362038312
0.7,0.05874125874125874,0.026902635051288593,0.11888111888111888,0.01483440799692057,0.9272727272727274,0.013631880202530023,0.8825174825174825,0.013451317525644315,0.9636247164988523,0.019646394515493437,0.841958041958042,0.03974341884862327,0.9020979020979022,0.019779210662560786,0.1300699300699301,0.031116916729072713,0.9006993006993007,0.02857736607231129,0.09372384389273528,0.025185789804227893,68.6,65.53472362038312
0.8,0.06573426573426573,0.026444294267397254,0.13846153846153847,0.0329488643059853,0.9118881118881118,0.021891574604893035,0.8951048951048952,0.02371444050043802,0.9358226853406661,0.024973900434253234,0.8881118881118881,0.03007806037427493,0.9356643356643357,0.015946509441946005,0.08391608391608392,0.02038794368827028,0.9202797202797204,0.021891574604893077,0.05485749166644318,0.014964908147146176,68.6,65.53472362038312
0.9,0.07832167832167833,0.028146310206291054,0.14405594405594407,0.023507323516044218,0.918881118881119,0.021891574604893056,0.8797202797202797,0.027708549309313248,0.9523775144678469,0.01585494282810084,0.9202797202797204,0.026444294267397257,0.9482517482517483,0.010605420201470676,0.05174825174825175,0.014501007939390017,0.9552447552447552,0.011701538832644378,0.039581355640822526,0.009985669842565836,68.6,65.53472362038312
1.0,0.08811188811188811,0.025502912627706948,0.1706293706293706,0.021891574604893032,0.897902097902098,0.02402176788436036,0.8755244755244755,0.02177959650684957,0.9375176225751337,0.011537838272586514,0.9342657342657343,0.0201466577494936,0.9608391608391609,0.010605420201470697,0.03776223776223776,0.00938210340209702,0.9762237762237762,0.007973254720973027,0.02578755285714603,0.010817967255216186,68.6,65.53472362038312
