Total_Cost,Mean_Cost,Peak_Grid,Mean_Grid,Total_Imbalance,Mean_Imbalance,Overload_Rate,Mean_Margin,Mean_J,SOC_Std,Decision_Variability,policy,seed
1051.4505432203107,0.7823292732293978,6.294696582660304,2.965908007719429,7.549516567451064e-15,5.617199826972518e-18,0.13764880952380953,0.6784474206349207,0.7138006443713293,1.336687431630256,0.3728249396320312,baseline,11
1054.2978583767767,0.7844478112922446,6.294696582660304,2.975406266259957,1.3322676295501878e-14,9.912705577010326e-18,0.13764880952380953,0.6744791666666666,0.717903309418303,1.1987285553185922,0.37052316545283365,vds,11
1041.0460149570508,0.7745878087478056,6.294663859303503,2.9481152544010802,7.549516567451064e-15,5.617199826972518e-18,0.14211309523809523,0.6841517857142857,0.7013638478517878,1.2198038616594362,0.3799615377487725,baseline,23
1044.3468441258765,0.7770437828317533,6.294663859303503,2.9590019273651302,1.1102230246251565e-14,8.260587980841938e-18,0.14211309523809523,0.6774553571428572,0.7071680362214497,1.0185399929519812,0.3770949713761239,vds,23
1055.2051307206107,0.785122865119502,6.3173695974079465,2.955170763568698,7.105427357601002e-15,5.28677630773884e-18,0.13467261904761904,0.6841517857142857,0.7145190800855689,1.2789114565820412,0.38095642788844486,baseline,47
1058.4784153433502,0.7875583447495165,6.3173695974079465,2.9659765120672867,1.2878587085651816e-14,9.582282057776649e-18,0.13467261904761904,0.6786954365079365,0.7196827343187582,1.1128630539158302,0.37750622204617457,vds,47
1051.8670240363035,0.7826391547889163,6.271161351383029,2.95700229021673,8.881784197001252e-15,6.6084703846735505e-18,0.14136904761904762,0.6755952380952381,0.7154221197688693,1.3296759280086394,0.38249071416491087,baseline,89
1055.4211364529895,0.7852835836703791,6.271161351383029,2.9684796183094915,1.2434497875801753e-14,9.25185853854297e-18,0.14136904761904762,0.6728670634920636,0.7194306359519194,1.0818885223264172,0.37887769938325194,vds,89
1047.5703098992713,0.7794421948655292,6.431268910474159,2.972707045087416,1.2434497875801753e-14,9.25185853854297e-18,0.13616071428571427,0.6806795634920636,0.7090922753835726,1.2583759788691937,0.389971274530973,baseline,173
1050.7423992604513,0.7818023804021215,6.431268910474159,2.983293267538859,1.509903313490213e-14,1.1234399653945037e-17,0.13616071428571427,0.677951388888889,0.7128165482217522,1.0668530716103461,0.3833757910845048,vds,173
